id,title,description,category,imageUrl,createdAt
pongal-2025-1,Mathuram Thai Pongal,,EVENTS,/events/mathuram pongal 2025-1.jpg,2025-01-14
pongal-2025-2,Mathuram Thai Pongal,,EVENTS,/events/mathuram pongal 2025-2.jpg,2025-01-14
office-opening-1,Office Opening Ceremony,,EVENTS,/events/office openbing ceremony -1.jpg,2024-12-25
pilot-exam-2024,A/L Pilot Exam,,SEMINARS,/events/annual pilot exam 2024-2.jpg,2024-07-01
course-selection-2024,University Course Selection,,SEMINARS,/events/course selection 2024-1.jpg,2024-06-01
